game_name,cover_url
Spyro: Reignited Trilogy,https://images.igdb.com/igdb/image/upload/t_cover_big/cobaat.jpg
Dance Central: Spotlight,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ws9.jpg
Helldivers II,https://images.igdb.com/igdb/image/upload/t_cover_big/coabbf.jpg
Moss,https://images.igdb.com/igdb/image/upload/t_cover_big/cobpik.jpg
Lone Echo,https://images.igdb.com/igdb/image/upload/t_cover_big/co2olq.jpg
Echo Arena,
Windjammers 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2rvy.jpg
Guacamelee 2,https://images.igdb.com/igdb/image/upload/t_cover_big/cob232.jpg
Life is Strange: Before the Storm,https://images.igdb.com/igdb/image/upload/t_cover_big/co1twj.jpg
Warhammer 40,https://images.igdb.com/igdb/image/upload/t_cover_big/co6j5y.jpg
Doom Eternal,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p5n.jpg
Ghost of Tsushima,https://images.igdb.com/igdb/image/upload/t_cover_big/co2crj.jpg
Samurai Gunn 2,https://images.igdb.com/igdb/image/upload/t_cover_big/cobhlv.jpg
Steamworld Dig 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co5byf.jpg
Subnautica,https://images.igdb.com/igdb/image/upload/t_cover_big/co2x8n.jpg
Slime Rancher,https://images.igdb.com/igdb/image/upload/t_cover_big/co73i2.jpg
Overcooked,https://images.igdb.com/igdb/image/upload/t_cover_big/co2g3n.jpg
Overcooked 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2g3n.jpg
Half Life: Alyx,https://images.igdb.com/igdb/image/upload/t_cover_big/co87vg.jpg
Rogue Legacy 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co4p51.jpg
State of Decay 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2569.jpg
Ori and the Blind Forest: Definitive Edition,https://images.igdb.com/igdb/image/upload/t_cover_big/co2s0m.jpg
Ori: The Will of the Wisps,https://images.igdb.com/igdb/image/upload/t_cover_big/co2e1l.jpg
