game_id,title,platform,franchise,publisher,release_date,first_played,last_played,metacritic_score,multiplayer_style,controller_style,store,old_giantbomb_id,giantbomb_img_url,giantbomb_id
2,Psychonauts,PC,Psychonauts,Majesco Entertainment,2005-04-19,2017-09-29,2017-09-29,88,N/A,Controller,Microsoft (GamePass),2906,https://www.giantbomb.com/a/uploads/scale_small/8/87790/1841447-box_pnauts.png,1339
3,Soundboxing,Oculus Rift,N/A,Maxint LLC,2016-09-29,2017-09-30,2018-01-27,0,N/A,Oculus Touch,Steam,60683,https://www.giantbomb.com/a/uploads/scale_small/35/357188/2955863-header.jpg,31625
4,"Star Wars: Battlefront 2 (Classic, 2005)",PC,Star Wars,"Aspyr Media, Inc.",2024-03-14,2017-10-02,2017-10-02,83,Co-op,Controller,Steam,90532,https://www.giantbomb.com/a/uploads/scale_small/33/338034/3549722-8180969234-1x1_N.jpg,142
5,Legend of Zelda: Breath of the Wild,Nintendo Switch,Legend of Zelda,Nintendo,2017-03-03,2017-10-03,2019-03-07,97,N/A,Controller,Nintendo (Physical),41355,https://www.giantbomb.com/a/uploads/scale_small/20/201266/3540553-2920687-thelegendofzelda-breathofthewildv8.jpg,7346
6,Cuphead,PC,N/A,Studio MDHR,2017-09-29,2017-10-03,2017-10-24,86,Co-op,Controller,Microsoft (GamePass),44945,https://www.giantbomb.com/a/uploads/scale_small/8/87790/2952215-box_cuphead.png,9061
7,VR The Diner Duo,Oculus Rift,N/A,Whirlybird Games,2016-11-01,2017-10-07,2017-12-09,0,Co-op,Oculus Touch,Oculus,58103,https://www.giantbomb.com/a/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,25118
8,Fortnite,PC,N/A,Epic Games,2017-07-25,2017-10-08,2017-10-08,78,PVP,Controller,Epic Games,37030,https://www.giantbomb.com/a/uploads/scale_small/8/87790/2952214-box_fn.png,231090
10,Project CARS,Oculus Rift,N/A,Slightly Mad Studios,2015-05-06,2017-10-19,2017-10-19,83,PVP,Controller,Steam,36993,https://www.giantbomb.com/a/uploads/scale_small/8/82063/2652860-pcars.jpg,5319
11,Cities: Skylines,PC,Cities,Paradox Interactive AB,2015-03-10,2017-10-22,2017-11-25,85,N/A,Keyboard & Mouse,Steam,47402,https://www.giantbomb.com/a/uploads/scale_small/17/171291/2670675-temp-packshot-v2.jpg,9066
12,Super Mario World,Retro Pi,Mario,Nintendo,1990-11-21,2017-11-07,2017-11-13,92,N/A,Controller,Nintendo (Digital),1334,https://www.giantbomb.com/a/uploads/scale_small/1/12541/3312460-sq_snes_supermarioworld.jpg,1070
13,Super Mario: Odyssey,Nintendo Switch,Mario,Nintendo,2017-10-27,2017-11-08,2017-12-02,97,N/A,Controller,Nintendo (Physical),56733,https://www.giantbomb.com/a/uploads/scale_small/20/201266/3567514-5010990638-co1mx.png,26758
14,The Thrill of the Fight,Oculus Rift,N/A,Sealost Interactive LLC,2016-07-01,2017-11-10,2017-11-10,0,N/A,Oculus Touch,Steam,62250,https://www.giantbomb.com/a/uploads/scale_small/36/363597/2970665-6479445317-capsu.jpg,174558
15,Lone Echo,Oculus Rift,Lone Echo,Oculus Studios,2017-07-20,2017-11-11,2017-11-17,89,N/A,Oculus Touch,Oculus,58724,https://www.giantbomb.com/a/uploads/scale_small/0/4647/2950198-lone_echo.jpg,24917
16,Hollow Knight,PC,Hollow Knight,Team Cherry,2017-02-24,2017-11-23,2017-12-09,90,N/A,Controller,Steam,48412,https://www.giantbomb.com/a/uploads/scale_small/24/240391/3355540-co1rgi.jpg,14593
17,Echo Arena,Oculus Rift,Lone Echo,Oculus Studios,2017-07-20,2017-11-25,2018-01-05,89,PVP,Oculus Touch,Oculus,60241,https://www.giantbomb.com/a/uploads/scale_small/34/346035/2950089-echo_arena_store_cover_art_landscape_2560x1440.jpg,141378
18,"Cook, Serve, Delicious! 2!!",PC,"Cook, Serve, Delicious!",Vertigo Gaming Inc.,2017-09-13,2017-11-25,2018-01-28,62,N/A,Controller,Steam,50254,https://www.giantbomb.com/a/uploads/scale_small/8/87790/3089170-box_csd2.png,23236
19,Oculus Home,Oculus Rift,N/A,Oculus Studios,2016-12-06,2017-12-08,2017-12-08,0,N/A,Oculus Touch,Oculus,57360,https://www.giantbomb.com/a/uploads/scale_small/10/103881/2906033-om.png,
20,Robo Recall,Oculus Rift,N/A,Epic Games,2017-03-01,2017-12-09,2017-12-09,85,N/A,Oculus Touch,Oculus,58673,https://www.giantbomb.com/a/uploads/scale_small/1/13157/2936834-2225770912-maxre.jpg,26451
21,The Flame in the Flood,PC,N/A,Limited Run Games,2016-02-24,2017-12-11,2017-12-11,73,N/A,Controller,Steam,48148,https://www.giantbomb.com/a/uploads/scale_small/8/87790/2994816-box_tfitf.png,9732
22,Fallout: New Vegas,PC,Fallout,Bethesda Softworks,2010-10-19,2017-12-19,2017-12-23,84,N/A,Keyboard & Mouse,Steam,25933,https://www.giantbomb.com/a/uploads/scale_small/20/201266/3572176-3108026057-EGS_FalloutNewVegas_ObsidianEntertainment_S2_1200x1600-866fe8b8f56e2e7bb862c49bf0627b9a.jpg,16
23,Gorogoa,PC,N/A,Annapurna Interactive,2017-12-14,2017-12-19,2017-12-22,84,N/A,Keyboard & Mouse,Steam,41173,https://www.giantbomb.com/a/uploads/scale_small/8/87790/3023798-box_goro.png,9136
24,Life is Strange: Before the Storm,PC,Life is Strange,Square Enix,2017-08-31,2017-12-26,2018-01-01,77,N/A,Controller,Steam,59903,https://www.giantbomb.com/a/uploads/scale_small/0/1992/2945312-screen%20shot%202017-06-11%20at%208.09.07%20pm.png,29004
25,"Warhammer 40,000: Space Marine",PC,Warhammer,THQ,2011-09-06,2017-12-27,2017-12-30,76,N/A,Controller,Steam,23708,https://www.giantbomb.com/a/uploads/scale_small/8/87790/3140534-box_sm.png,578
26,Drunkn Bar Fight,Oculus Rift,N/A,The Munky,2018-02-13,2017-12-27,2017-12-29,0,N/A,Oculus Touch,Steam,63570,https://www.giantbomb.com/a/uploads/scale_small/29/292602/2983272-7281166308-heade.jpg,31302
27,Dead Hungry,Oculus Rift,N/A,Q-Games,2016-12-06,2017-12-27,2017-12-27,0,N/A,Oculus Touch,Oculus,60200,https://www.giantbomb.com/a/uploads/scale_small/35/355054/2949546-deadhungry_cover-1.jpg,8442
28,Rec Room,Oculus Rift,N/A,Against Gravity,2016-06-01,2017-12-28,2018-06-16,0,PVP,Oculus Touch,Oculus,54721,https://www.giantbomb.com/a/uploads/scale_small/0/9536/2885410-8174793569-21074.png,32617
29,Overcooked,Xbox,Overcooked,Team17 Software Limited,2016-08-03,2018-01-02,2024-07-20,84,Co-op,Controller,Not Mine,53284,https://www.giantbomb.com/a/uploads/scale_small/8/87790/2994870-box_oc.png,18433
30,Unspoken,Oculus Rift,N/A,Oculus Studios,2016-12-06,2018-01-05,2018-01-05,0,PVP,Oculus Touch,Oculus,54320,https://www.giantbomb.com/a/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,288515
