session_id,game_id,platform,start_date,start_time,duration,location,game_mode,controller_style,game_title,game_platform,game_igdb_id,game_giantbomb_id,legacy_game_id
1,40,PC,2018-09-09,08:00 AM,60,Bed,Singleplayer,Controller,Dead Cells,PC,,58490,40
2,63,Switch,2018-09-09,02:00 PM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
3,64,Xbox,2018-09-09,09:00 PM,60,Simone & Kyles,Local Multiplayer,Controller,Lego Star Wars,Xbox,,29992,64
4,63,Switch,2018-09-10,06:00 PM,60,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
5,63,Switch,2018-09-11,06:00 PM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
6,63,Switch,2018-09-14,07:00 AM,30,Ohakune,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
7,63,Switch,2018-09-15,07:00 AM,30,Ohakune,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
8,63,Switch,2018-09-16,10:00 AM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
9,63,Switch,2018-09-18,06:00 PM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
10,65,PS4,2018-09-20,08:00 PM,15,Lounge,Singleplayer,Controller,Marvels Spiderman,PS4,,54233,65
11,63,Switch,2018-09-20,10:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
12,63,Switch,2018-09-21,07:00 AM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
13,63,Switch,2018-09-21,07:00 PM,15,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
14,57,PS4,2018-09-21,08:00 PM,90,Lounge,Local Multiplayer,Controller,Overcooked 2,PS4,,68948,57
15,61,PS4,2018-09-21,09:00 PM,60,Lounge,Local Multiplayer,Controller,Duck Game,PS4,,45746,61
16,63,Switch,2018-09-22,07:00 AM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
17,40,PC,2018-09-22,10:00 AM,30,Computer Room,Singleplayer,Controller,Dead Cells,PC,,58490,40
18,63,Switch,2018-09-23,07:00 AM,75,Bed,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
19,63,Switch,2018-09-23,04:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
20,63,Switch,2018-09-26,07:00 PM,45,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
21,63,Switch,2018-09-26,09:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
22,63,Switch,2018-09-27,07:00 AM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
23,63,Switch,2018-09-27,07:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
24,63,Switch,2018-09-28,06:00 AM,15,Bed,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
25,63,Switch,2018-09-29,07:00 AM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
26,63,Switch,2018-09-29,10:00 AM,15,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
27,63,Switch,2018-09-29,05:00 PM,30,Work,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
28,63,Switch,2018-10-01,07:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
29,63,Switch,2018-10-02,08:00 PM,30,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
30,63,Switch,2018-10-03,07:00 AM,15,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
31,66,PC,2018-10-03,06:00 PM,105,Computer Room,Singleplayer,Controller,Forza Horizon 4,PC,,68909,66
32,63,Switch,2018-10-04,06:00 PM,15,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
33,66,PC,2018-10-05,08:00 AM,45,Computer Room,Singleplayer,Controller,Forza Horizon 4,PC,,68909,66
34,57,PS4,2018-10-05,06:00 PM,45,Lounge,Local Multiplayer,Controller,Overcooked 2,PS4,,68948,57
35,66,PC,2018-10-05,06:00 PM,60,Computer Room,Singleplayer,Controller,Forza Horizon 4,PC,,68909,66
36,63,Switch,2018-10-06,07:00 AM,15,Computer Room,Singleplayer,Handheld,Into the Breach,Nintendo Switch,,58234,63
