"developer_id","name"
1,"1-UP Studio"
2,"4J Studios"
3,"Activision Shanghai"
4,"Against Gravity"
5,"AGM Playism"
6,"Amplitude Studios"
7,"Anegar Games"
8,"Arika Co., Ltd."
9,"Arrowhead Game Studios"
10,"Asobo Studio"
11,"Aspyr Media, Inc."
12,"Backbone Entertainment"
13,"Bae Team"
14,"Bandai Namco Entertainment"
15,"Beat Games"
16,"Beenox Studios"
17,"Beethoven & Dinosaur"
18,"Ben Esposito"
19,"BioWare"
20,"Blacklight Interactive"
21,"BlitWorks"
22,"Blizzard Albany"
23,"Budcat Creations"
24,"Bulkhead Interactive"
25,"Buzz Monkey Software, LLC"
26,"CAProductions Co. Ltd."
27,"Cardboard Computer"
28,"Cellar Door Games"
29,"Chucklefish Games"
30,"Clever Beans"
31,"Code Mystics"
32,"Codemasters"
33,"Coffee Stain Studios"
34,"Colossal Order"
35,"ConcernedApe"
36,"Cozy Cabin Studios"
37,"Cradle Games"
38,"Criterion Games"
39,"Crytek"
40,"Dani"
41,"Daniel Mullins Games"
42,"Deck Nine Games"
43,"DICE"
44,"Digital Eclipse Software, Inc."
45,"Digital Hearts Co., Ltd."
46,"Dodge Roll"
47,"Dont Nod"
48,"DotEmu"
49,"Double Eleven"
50,"Double Fine Productions, Inc."
51,"Downpour Interactive"
52,"DrinkBox Studios"
53,"EA Canada"
54,"EA Tiburon"
55,"EA Vancouver"
56,"Eagle Dynamics"
57,"Eighting Co., Ltd."
58,"Empyrean"
59,"Enhance"
60,"Epic Games"
61,"EPOS Game Studios"
62,"Evil Empire"
63,"Extremely OK Games"
64,"Flix Interactive"
65,"Four Quarters"
66,"Frictional Games"
67,"FromSoftware, Inc."
68,"Frozen District"
69,"Fullbright"
70,"Game Freak, Inc."
71,"Ghost Town Games"
72,"Giant Sparrow"
73,"Giant Squid"
74,"GIANTS Software GmbH"
75,"Greg Lobanov"
76,"HAL Laboratory, Inc."
77,"Halo Studios"
78,"Hardsuit Labs"
79,"Harmonix Music Systems"
80,"Hazelight"
81,"Heart Machine"
82,"Helder Pinto"
83,"Hello Games"
84,"Hopoo Games"
85,"Hudson Entertainment, Inc."
86,"id Software"
87,"Image & Form"
88,"Infinity Ward"
89,"Innersloth"
90,"Insomniac Games"
91,"Intelligent Systems Co., Ltd."
92,"Iron Galaxy Studios"
93,"Iron Gate Studios"
94,"Jackbox Games"
95,"Jason Roberts"
96,"JW, Kitty, Jukio, Dom"
97,"Klei Entertainment Inc."
98,"Landfall Games"
99,"LucasArts Entertainment Company LLC"
100,"Massive Monster"
101,"Maxint LLC"
102,"Mediatonic"
103,"Mega Crit"
104,"Mintrocket"
105,"Mobius Games"
106,"Modern Storyteller"
107,"Mojang AB"
108,"Monolith Software, Inc."
109,"Monomi Park"
110,"Monstars Inc."
111,"Moon Studios"
112,"Mossmouth, LLC"
113,"Motion Twin"
114,"Motive Studios"
115,"Namco"
116,"Naughty Dog, Inc."
117,"Neverjam"
118,"Night School Studio"
119,"Ninja Theory"
120,"Nintendo Cube"
121,"Nintendo EAD"
122,"Nintendo EPD"
123,"Nintendo R&D1"
124,"Nintendo Software Technology Corporation"
125,"Nixxes Software BV"
126,"Nolla Games"
127,"Oblix LLC"
128,"Obsidian Entertainment"
129,"Oculus Studios"
130,"Origame Digital"
131,"Other Ocean Interactive"
132,"Outsource Media (OMUK)"
133,"Pandemic Studios"
134,"Panic Button"
135,"Paradox Development Studio"
136,"Pax Softnica"
137,"People Can Fly"
138,"Perfectly Paranormal"
139,"Phobia Game Studio"
140,"PigeoNation Inc."
141,"Pillow Castle Games"
142,"Pixile"
143,"Player First Games"
144,"PlayEveryWare"
145,"Playful Corp"
146,"Playground Games"
147,"PlayStation Studios"
148,"Polyarc Games"
149,"Psyonix Studios"
150,"Q-Games"
151,"QLOC"
152,"RageSquid"
153,"Rainbite Limited"
154,"Rare, Ltd."
155,"Raw Thrills"
156,"Ready at Dawn Studios, LLC"
157,"Red Dot Games"
158,"Relic Entertainment"
159,"Remedy Entertainment Ltd."
160,"Resonair"
161,"Respawn Entertainment"
162,"Ripple Effect"
163,"SCE XDev Studio"
164,"Sealost Interactive LLC"
165,"Sega"
166,"Shedworks"
167,"Shiny Shoe"
168,"Shloc Ltd."
169,"Sickhead Games"
170,"SIE Japan Studio"
171,"SIE Santa Monica Studio"
172,"Slightly Mad Studios"
173,"Sloclap"
174,"Sonic Mayhem"
175,"Sora"
176,"Sports Interactive Limited"
177,"SRD Co. Ltd."
178,"Stage Games"
179,"Studio MDHR"
180,"Subset Games"
181,"Sucker Punch"
182,"Supergiant Games"
183,"SuperJoeBob"
184,"Survios"
185,"Sweet Baby Inc."
186,"System Era Softworks"
187,"Tantalus Media"
188,"Team Cherry"
189,"Team17 Software Limited"
190,"Techland Sp. z o.o."
191,"Teknopants"
192,"The Game Bakers"
193,"The Molasses Flood"
194,"The Munky"
195,"Thunder Lotus Games"
196,"Tomas Sala"
197,"Toys for Bob"
198,"Travellers Tales Ltd."
199,"TT Fusion"
200,"TT Games"
201,"Two Point Studios"
202,"Ubisoft Annecy Studios"
203,"Ubisoft Ivory Tower"
204,"Ubisoft Kiev"
205,"Ubisoft Montpellier Studios"
206,"Ubisoft Reflections"
207,"Undead Labs"
208,"Unknown Worlds"
209,"Valve Corporation"
210,"Vanillaware Ltd."
211,"Vertigo Gaming Inc."
212,"Villa Gorilla"
213,"Virtuos Ltd."
214,"VRChat Inc."
