"game_id","developer_id"
1,35
1,169
1,5
1,29
2,50
2,23
3,101
4,133
4,11
5,122
5,108
5,177
5,121
6,179
7,218
8,60
8,137
8,78
9,121
9,45
10,172
11,34
11,187
12,177
12,121
13,122
13,1
14,164
15,156
16,188
17,156
18,211
19,129
20,60
21,193
22,128
22,151
22,220
23,95
24,42
25,158
25,174
26,194
27,150
28,4
29,71
30,90
31,140
31,102
32,214
33,128
34,184
35,208
36,80
37,121
37,177
38,94
39,154
39,64
40,113
40,62
41,145
42,66
43,163
43,30
43,61
44,15
45,90
46,189
47,99
47,165
47,136
48,207
48,78
49,56
50,47
51,111
52,24
53,51
54,46
55,83
56,112
56,21
57,71
58,53
59,119
59,151
60,38
60,114
60,43
61,183
62,216
63,180
64,200
64,199
64,198
65,90
65,125
66,146
67,120
67,26
68,121
69,85
70,127
71,138
72,39
73,197
74,79
75,70
76,79
76,200
76,199
76,12
77,19
78,107
78,2
78,131
78,44
79,175
79,14
79,177
80,13
81,87
82,55
83,8
84,29
85,103
86,160
86,110
86,59
86,178
87,118
88,81
89,128
90,161
91,67
92,105
93,74
94,73
95,72
95,171
96,27
97,202
97,204
97,205
98,70
99,122
99,108
99,177
99,1
100,88
101,201
102,111
103,16
103,22
103,197
104,186
105,33
106,149
107,116
108,190
108,168
109,6
110,176
111,69
112,139
113,96
114,52
115,98
116,102
117,195
118,219
118,10
119,47
120,135
121,89
122,115
123,217
124,20
125,182
126,112
126,21
127,211
128,107
128,49
129,114
130,86
130,134
131,148
132,209
133,130
134,159
135,55
136,196
137,18
138,167
139,65
140,142
141,63
142,80
143,123
143,91
144,109
145,192
146,97
147,215
148,152
149,153
150,84
150,144
151,50
152,166
152,185
153,84
153,31
154,126
155,146
156,77
157,191
158,48
159,52
160,17
161,70
162,67
162,170
163,171
164,55
165,155
165,37
166,210
167,157
167,58
167,68
168,197
168,16
168,3
168,78
169,40
170,143
171,22
171,16
171,92
172,181
173,75
174,147
174,171
174,185
175,28
176,67
177,221
178,116
178,213
179,116
180,106
181,32
182,117
183,93
184,122
184,108
185,41
186,206
186,132
187,43
188,25
188,90
189,76
190,124
191,91
192,122
193,54
194,84
194,31
195,104
196,141
197,9
198,16
198,22
198,197
199,67
200,121
201,122
201,57
202,7
203,203
204,212
205,82
206,100
207,43
207,162
208,36
209,43
209,162
209,38
210,173
211,222
212,90
212,147
216,161
217,223
217,224
218,80
219,225
220,226
221,38
221,114
221,43
222,227
223,228
224,229
224,230
225,188
226,90
226,147
226,125
