"game_id","theme_id"
1,14
10,22
100,21
100,3
101,17
101,7
102,14
103,25
104,25
105,25
106,10
106,22
107,16
107,2
107,23
108,16
108,23
109,25
11,17
110,17
111,25
112,16
113,14
114,14
114,19
114,7
115,14
115,20
115,7
116,15
117,17
12,24
120,20
121,13
121,25
123,7
124,7
125,14
127,17
127,3
127,7
128,14
129,25
13,14
130,14
130,16
130,23
130,25
131,14
132,16
132,25
133,10
133,25
134,25
137,7
138,14
139,14
139,23
140,14
140,25
140,7
141,14
142,14
142,7
143,25
144,25
145,25
146,25
148,22
149,14
15,25
150,25
151,14
151,7
152,14
153,25
155,22
156,25
159,14
16,14
160,14
161,14
162,14
162,16
163,14
165,18
165,27
166,14
166,20
168,25
169,15
17,25
172,20
174,14
175,14
176,14
178,16
178,23
179,16
179,23
180,3
182,7
183,20
184,14
185,14
185,16
185,25
186,9
187,30
188,25
188,7
189,14
189,23
190,25
192,14
194,25
195,5
196,7
197,25
198,25
199,14
2,14
2,7
20,25
200,14
201,14
201,25
202,14
203,22
204,14
205,25
206,14
206,16
206,17
206,7
209,30
21,23
210,18
22,23
22,25
22,3
23,1
23,14
25,14
25,25
26,7
29,7
3,25
30,14
30,3
31,11
31,23
31,4
31,7
33,14
34,25
35,25
35,5
36,9
37,14
37,20
38,7
39,14
4,25
40,14
41,14
42,16
42,23
42,25
42,5
43,25
44,1
45,23
45,7
46,9
47,25
48,23
49,21
5,14
50,27
51,14
52,25
53,21
54,14
54,25
54,7
55,25
56,19
56,25
57,7
59,14
59,16
6,14
6,7
60,25
61,7
62,14
63,23
63,25
64,25
65,27
65,8
66,22
68,14
69,14
71,7
72,14
72,3
73,14
75,14
76,7
77,25
78,14
79,14
79,18
8,14
8,16
8,23
8,25
8,7
80,14
81,26
81,29
85,14
86,1
87,16
87,30
88,10
88,14
88,25
88,4
89,25
9,14
90,25
91,18
91,3
92,25
92,26
93,17
94,14
94,5
98,14
99,14
211,5
212,8
216,25
217,16
217,25
217,3
218,14
218,25
218,7
220,29
221,25
222,7
225,14
226,14
226,25
