"genre_id","name"
1,"Action"
2,"Action-Adventure"
3,"Adventure"
4,"Baseball"
5,"Basketball"
6,"Billiards"
7,"Block-Breaking"
8,"Bowling"
9,"Boxing"
10,"Brawler"
11,"Card Game"
12,"Compilation"
13,"Cricket"
14,"Driving/Racing"
15,"Dual-Joystick Shooter"
16,"Educational"
17,"Fighting"
18,"First-Person Shooter"
19,"Fishing"
20,"Fitness"
21,"Flight Simulator"
22,"Football"
23,"Gambling"
24,"Golf"
25,"Hockey"
26,"Light-Gun Shooter"
27,"Minigame Collection"
28,"MMORPG"
29,"MOBA"
30,"Music/Rhythm"
31,"Pinball"
32,"Platformer"
33,"Puzzle"
34,"Real-Time Strategy"
35,"Role-Playing"
36,"Shoot 'Em Up"
37,"Shooter"
38,"Simulation"
39,"Skateboarding"
40,"Snowboarding/Skiing"
41,"Soccer"
42,"Sports"
43,"Strategy"
44,"Surfing"
45,"Tennis"
46,"Text Adventure"
47,"Track & Field"
48,"Trivia/Board Game"
49,"Vehicular Combat"
50,"Wrestling"
