"session_id","game_id","start_date","start_time","duration_minutes","game_mode","controller_style","location","platform","user_id"
1,40,"2018-09-09","08:00 AM",60,"Singleplayer","Controller","Bed","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
2,63,"2018-09-09","02:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
3,64,"2018-09-09","09:00 PM",60,"Local Multiplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
4,63,"2018-09-10","06:00 PM",60,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
5,63,"2018-09-11","06:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
6,63,"2018-09-14","07:00 AM",30,"Singleplayer","Handheld","Ohakune","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
7,63,"2018-09-15","07:00 AM",30,"Singleplayer","Handheld","Ohakune","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
8,63,"2018-09-16","10:00 AM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
9,63,"2018-09-18","06:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
10,65,"2018-09-20","08:00 PM",15,"Singleplayer","Controller","Lounge","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
11,63,"2018-09-20","10:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
12,63,"2018-09-21","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
13,63,"2018-09-21","07:00 PM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
14,57,"2018-09-21","08:00 PM",90,"Local Multiplayer","Controller","Lounge","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
15,61,"2018-09-21","09:00 PM",60,"Local Multiplayer","Controller","Lounge","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
16,63,"2018-09-22","07:00 AM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
17,40,"2018-09-22","10:00 AM",30,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
18,63,"2018-09-23","07:00 AM",75,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
19,63,"2018-09-23","04:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
20,63,"2018-09-26","07:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
21,63,"2018-09-26","09:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
22,63,"2018-09-27","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
23,63,"2018-09-27","07:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
24,63,"2018-09-28","06:00 AM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
